,Review,Rating
74,"IT IS VERYYYYYYYYYYYYYYYYYYYY
GOOD",5
75,"Overall good but camera is not working
In this price it is valu for money",4
76,very nyc,4
77,Very nice,5
78,Nice,1
79,Veri veri bad product . My product is defeated but i can not return . Battery is damage.,1
80,"don't buy this product, read careful about product. no brand name, appearance like ordinary watch",1
81,this is a very bad product please don't buy this product,1
82,Third class,1
83,bettery backup west pradact,1
84,Super watch and price also low songs also coming,5
85,very nice 👌👌,5
86,Totally worst item wastage of mony no Bluetooth no internet poor quality camera battery draining lastly please don't buy this type of smart watch and save your money,1
87,This watch is very good,5
88,nice work.But it takes 2 hour.,5
89,no too good because no WiFi we also cannot see video and you also cannot use internet it is given for only for see not work,2
90,Very good,5
91,It is a good watch then also when I got it it's battery was missing and I replaced it and after it was okay,5
92,"Very disappointed, refund not accepted",1
93,Good,1
94,Its not working it's bad 👎👎👎👎 money waste boka boka,1
95,This product is good but you have not working WhatsApp and also internet. This is fack watch,1
96,"Now flipkart has started to cheat people. Don't buy this product. I have receive the product without charging cable, though it was mention on its description. Also, the watch is not working. I have claimed for replacement.",1
97,Good,4
98,Nice,3
99,"Returned it and got a new one, it works perfect now. Flipkart thanks for cooperating.",4
100,Thank you,4
101,camera damage,3
102,nice this watch,5
103,Good in range,4
104,Good,3
105,It is so good,5
106,Good,5
107,It is exallent,5
108,super,5
109,Waste of money,1
110,Nice,3
111,awesome product,5
112,happy,5
113,It is very bad product,5
114,Waste product,1
115,Didn't even work 2 days,1
116,I am so happy 😊,5
117,Very bad and useless product.I will never purchase again any watch from flip kart.This is murder of Trust.Kindly bycott it,1
118,Nice watch this is value for money best purchase,5
119,really osm gud product I enjoyed🤗🤗🤗,5
120,Good ...,3
121,Very nice product 👍🏻👍🏻 and water proof protect,3
122,Amazing and so fast delivery,5
123,Bakwas battery is very poor,1
124,Best smart watch,5
125,Bad,1
126,good product,5
127,So bad charge only for half an hour very bad,1
128,Very bad quilty please 🙏 nhi lena eski,1
129,"Good but.. SIM not supported ........
Watch straps quality is so bad.......",4
130,Osm,5
131,It is not a good watch,1
132,Good,5
133,Battery is not working properly,1
134,Nice,5
135,Very bad,1
136,Nice product I liked it😘😘,5
137,"RQQV+FR Jaipur, Rajasthan",5
138,Very nice good looking and good working,5
139,Touch screen is not responded for some icon's/features.,1
140,Good luck,5
141,Battery life just 2 days,1
142,"Best product I've ever bought from flipkart.
Value for money worth",5
143,Battery is very waste,3
144,Warest,1
145,Not good not a waterproof,1
146,Wasted,1
147,Bad,1
148,Nice,5
149,It's nice product 😍,4
150,Bad,1
151,Low better Sim card not work,1
152,Wow,5
153,Superb,5
154,Good,5
155,Very Nice Product,5
156,Not good,1
157,Nice,5
158,Nice product 👍😊👍,5
159,Good,5
160,Watch is good but WhatsApp and Facebook not comming,4
161,Badd,2
162,battery problem,3
163,"Battery is not so much longer, otherwise all are good",2
164,Bad product. Waste of money. Pls dont buy this product.weak battery. I buy this after one week this battery leaking.,1
165,I like,5
166,"Its awesome watch and it is very useful battery pack up is very good and very useful for calling but not recommended for WhatsApp, Facebook and Twitter.",5
167,Best smart watch but battery power is low I will give 5 star for its working speed 212 mb ram extent product for this amount any wants to buy. Must buy crazy product promise you will happy to this product. And battery almost work normal use 1 day extra use 3hrs,5
168,Ahe product was good but battery backup is Not good and the whatsapp and facebook not work so if you have the Device for whatsapp my sagetion is do not buy the product and as well as Camera is so bad,3
169,super and fantastic mobile watch thanks Flipkart,5
170,Thanks you so much,5
171,very good smart watch mobile,5
172,Awesome👍👍 watch. It has everything. It is a mobile only but the display is on small.,5
173,it's really nice,5
174,very nice product,3
175,it's nice,5
176,nice super,5
177,"no wifi
no GPS
only for calling and photo
but camera is low quality",1
178,After using 1 day my review battery back-up is good calling features also working good thnx Flipkart,5
179,gud product,5
180,very good,5
181,Good delivery but watch not working battery not charged,5
182,Camera bad and watch is very good,3
183,Wow watch are awesome quality amazing,4
184,nice watch,5
185,Nice smart watch,5
186,awesome product ..worth of money☺️☺️☺️,5
187,Third class watch,1
188,No Android Phone.,3
189,Good product,4
190,Happy holi,4
191,"Not so good
And we can't call
This watch was is for fashion",2
192,bad quality,1
193,very nice product I buy this product very nice smart watch watch cannot call function that has call function,4
194,nice delivery in time I am very happy,5
195,Watch Is very good. But it full of plastic body.,5
196,Battery is bad&dead product not good DED PRODUCT Very Very BAD &DED PRODUCT,1
197,Good product all systems are work neatly and proporly,5
198,nice,5
199,Nice watch😍😍😍😍,5
200,waste of money ......its not opening whatsapp facebook twitter no browsing system no wifi.......,1
201,"The worst product I have ever had. Please don't buy this product it's really a wastage of money.Earlier I saw bad reviews but I didn't believe them but they were right its just wastage of money they told it had Wifi but it doesn't, WhatsApp is also not working. They have not given any app to install apps.It just have call and bluetooth function. Calorie count o's also not there. Camera is also not good.I am regretting on my decision after buying this product.The return policy is just the rep...",1
202,Super,5
203,Good for lockdown now after 7 day it is good,5
204,"Nice watch .
Camera is good",3
205,Very very nice product happy with it😊👍👍,5
206,It's enough to this watch,1
207,Price good calling stylish every is better,5
208,"Best mobile watch with suitable price.
Features are also very good.",5
209,Complete waste product. Not working. Camera upside down. Bluetooth not working. Unable to power-on without charger. Returned back.,1
210,it battery backup is very bad. but it's looks is very nice,1
211,"worst
battery capacity very poor
not supported for 4g sim",1
212,Killer Look and Osmm Working,5
213,Data not connect g. What's up not working,1
214,Nice watch,5
215,"This watch is nice,camera also good,all most 1 day battery life,this support airtel sim card",5
216,Good product,5
217,Great,5
218,very disappointed from the product,1
219,Please don't buy this product her have too many problems 1.Touch 2.Wi-Fi is Not Working 3. GPS Is Not Have 4. Battery Problem After 30 Min Battery Low And Too Many Problems Please I Request You . Please,1
220,Super ❤️❤️❤️,5
221,Very poor quality product it is total waste of money,1
222,Very baid,2
223,Battery backup is very poor..,3
224,"Best but
Battery life 💗 is very bad",1
225,Do not buy,1
226,No product best for you know I wrong,4
227,It is waste of money,1
228,Very bad product waste of money,1
229,It's not having any wifi option and its operate too slow and battery also not pick up it will show as battery low after 10min waste of money,1
230,"Nice pro..
..",3
231,Super,5
232,Super product awesome,4
233,OK,5
234,Good,5
235,It is very good product exelent flipkart,5
236,Battery is not good,1
237,Super watch but not have wifi connection,5
238,Watch mobile super ok good choice,5
239,Bat watch,1
240,Nice,3
241,Supar watch,5
242,"I am sunu, from Assam goalpara, this smart watch very nice ,and comfortable",5
243,Wonderful,3
244,How to on data,2
245,Hated it!!!,1
246,Nice product,5
247,best product,5
248,Bad smart watch,1
249,Nice ha,5
250,I like this order 🤩🤩🤩🤩,5
251,"Worst product it automatically on and off frequently, worst product quality not worth for 629rs it's was not worth for money it is a Delhi product, no user manual easily broken quality. I give 0* for this product I don't know why flipkart always give damaged product, I think #flipkart deal with all second quality vendors worst #flipkart don't buy in #flipkart. Try to avoid wasting your money with #flipkart, first I order stove it also damaged and returned, second I ordered wat h it also worst...",1
252,Very,1
253,not good it's not working properly,1
254,Very bad,1
255,very nice watch,5
256,Super,5
257,good,5
258,low battery life,1
259,Very worsted product,1
260,Good 4 g which,2
261,"Value for money,, good..",5
262,Very poor products,2
263,very nice product ❤️❤️❤️👌👌✌️✌️,5
264,Good product,5
265,Bad quality,2
266,Very bad product don't buy it,1
267,Nice,5
268,Battery is very poor,3
269,Not good,1
270,Good??,5
271,Very bad,1
272,item damage product,2
273,So bad,1
274,Nice,5
275,This is waste product don't buy it it's waste of money it is in very bad conditions,1
276,Bluthuth canction prabulam charging parbulam,2
277,very poor,1
278,waste of money,1
279,This is a good product i am so happy 😊 thanks for flipkart,5
280,I m happy,5
281,Very bad product,1
282,Half,5
283,Vest of money,2
284,"It's really amazing watch... Worth for money.... Nice aesthetic... Giving review of 1 day use...
1) battery is good,
2) call voice clearity is nice
3) camera is superb at dis price
4) brown colour I choosed it looks decent and show off wise go for it
5) most important not hanging and touch response is also good
6) as per description, they said sweat free strap yep it's nice.

I campared many watches online with it but yes ✅ I chooses good one.. Worth it.. Go for it",5
285,small kind of mobile and looks very smart in hand and there are many features .lt is also swaet prof nice camera and Display is hd.It connect with mobile by bluetooth and battery life 5hours.You must by less in cost but very good watch . my first choice.smart looking '.Different colour and silver is the most smart.it is very use full.you must by this watch. Irecomend this.,5
286,"This is a very good watch.When I was shopping online, I saw a good smart watch that I saw it so I liked it and found it by getting it done online.Thanks Flipkart",5
287,this is good looking,4
288,Value for money,5
289,Candle this order,5
290,good product,5
291,Nice watch,5
292,Nice Product,4
293,Best quality no bad issue,5
294,Nice colour,3
295,Excellent.. product,5
296,Good Product,5
297,SUPPORT 4G SIM,5
298,Smart watch very nice,5
299,I like it very much,5
300,Good product,3
301,Not very good no inter net,3
302,Very good product,5
303,Good,5
304,I love my watch,5
305,good choice,5
306,Nice product,5
307,your product is very bad i another time not believe on you,1
308,awsume smartwatch thank you flipkart,5
309,Its cool and nice but charging cable is too😤 small,5
310,Nice👍😊,5
311,This is very nice,5
312,It will work with jio,5
313,"When we keep watch to charge the battery will be to hot...
This is the problem of watch",3
314,Nice,5
315,Very bad product. not worth buying. Battery damages nearly after 2 months of normal use. Charges very fast and finishes very fast also. The thinking part is upto u.,1
316,"I am not able to open whatsapp, twitter, facebook and browser",1
317,Nice delivery by Flipkart,3
318,Good,4
319,This watch is waterproof,5
320,Nice,4
321,nice watch,5
322,This watch screen not work,5
323,nice,5
324,Supper watch,3
325,I like this watch,5
326,This mobile watch is very bad because it's belt is broken I wont to replace mobile watch,1
327,Waste oF MoNy,1
328,Plzz don't buy this.There is no option for watsupp and Facebook moreover battery life is too short and if you call somebody you can't hear voice.If you message somebody there is no full message get in your watch.,1
329,"IT IS VERYYYYYYYYYYYYYYYYYYYY
GOOD",5
330,"Overall good but camera is not working
In this price it is valu for money",4
331,very nyc,4
332,Very nice,5
333,Nice,1
334,Veri veri bad product . My product is defeated but i can not return . Battery is damage.,1
335,"don't buy this product, read careful about product. no brand name, appearance like ordinary watch",1
336,this is a very bad product please don't buy this product,1
337,Third class,1
338,bettery backup west pradact,1
339,Super watch and price also low songs also coming,5
340,very nice 👌👌,5
341,Totally worst item wastage of mony no Bluetooth no internet poor quality camera battery draining lastly please don't buy this type of smart watch and save your money,1
342,This watch is very good,5
343,nice work.But it takes 2 hour.,5
344,no too good because no WiFi we also cannot see video and you also cannot use internet it is given for only for see not work,2
345,Very good,5
346,It is a good watch then also when I got it it's battery was missing and I replaced it and after it was okay,5
347,"Very disappointed, refund not accepted",1
348,Good,1
349,Its not working it's bad 👎👎👎👎 money waste boka boka,1
350,This product is good but you have not working WhatsApp and also internet. This is fack watch,1
351,"Now flipkart has started to cheat people. Don't buy this product. I have receive the product without charging cable, though it was mention on its description. Also, the watch is not working. I have claimed for replacement.",1
352,Good,4
353,Nice,3
354,"Returned it and got a new one, it works perfect now. Flipkart thanks for cooperating.",4
355,Thank you,4
356,camera damage,3
357,nice this watch,5
358,Good in range,4
359,Good,3
360,It is so good,5
361,Good,5
362,It is exallent,5
363,super,5
364,Waste of money,1
365,Nice,3
366,awesome product,5
367,happy,5
368,It is very bad product,5
369,Waste product,1
370,Didn't even work 2 days,1
371,I am so happy 😊,5
372,Very bad and useless product.I will never purchase again any watch from flip kart.This is murder of Trust.Kindly bycott it,1
373,good simple,5
374,nice,4
375,Very good,5
376,it's a temporary use product not good,2
377,such worst product I never get at anywhere!,1
378,Very good,5
379,This watch does not have sensors as shown . it's count automatically even you are sitting. no booklet is provided with this item . Waste of money for men. Only for kid you can buy it,1
380,very-very bad quality,1
381,good for the rate...,5
382,good,5
383,battery is very bad quality please don't buy watch is good but battery which is given by with watch is very bad it's totally disable,1
384,good,5
385,very very bad quality watch.,1
386,when it came it had broken screen,1
387,super iteam,5
388,good,5
389,"Speakes not good , after 15 days speaker sounds like very cheap , so if you want this smartwatch for listening music so not go for this , choice other option.",2
390,Nice,4
391,Good watch,3
392,Bad smart watch,1
393,Very bad produc👎👎,1
394,Quality is not got,1
395,Nice but colour is changed,4
396,Vary good,4
397,good backup,5
398,Good,5
399,bad,1
400,ok ok product,3
401,Bad product,2
402,good,5
403,music internate not start,3
404,good,5
405,not a best watch,2
406,"This watch is amazing it's look like a smart phone and cam, sound is soo good, screen also good' almost this product is soo good and delicious it,s look like beautiful, and it is useful for connecting devices and this is the standard product from Flipkart soo please buy everything from Flipkart, Flipkart products are good for us. Thank you",5
407,Very nice quality and this song quality is very good this 1 any SIM card and 1 memory card thanks so much Flipkart,5
408,Thanks for your,5
409,Best quality.. all can use it...best watch..,5
410,Super working in smart watch,5
411,The product is very nice and value of money,5
412,Avika smartwatch no use full many problems in their smart watch connecting Bluetooth not showing percentage of battery worest product in smart watch reply return please,1
413,Very very very very very nice🖐️🖐️🖐️🖐️🖐️,5
414,Top watch,5
415,Nice,5
416,Good,4
417,Best product,5
418,Fine,5
419,Very good product for the best value,5
420,The watch looks okay but the battery Swollen automatically once assembled before we charge to it. Experienced bad customer service for this product.,1
421,Nice product....,5
422,"Super, price",5
423,Battery back up maximum 1 hour.,1
424,Worst product in the world,1
425,Touch not working.,2
426,Nice,5
427,Very nice product,5
428,Good products,5
429,Very nice,5
430,I will change this watch,5
431,Nice,5
432,Very good,5
433,Good,5
434,Bad,1
435,Great,5
436,Fantastic product excellent battery backup,5
437,Not attractive to wear 😕,2
438,Very bad product...i have touch problem in my watch.....,1
439,Wonderful,5
440,Waste,2
441,Wast,2
442,Very bad bettay quality,1
443,Wonderful 😊 smart phone 📱😀,5
444,I liked very much...I'm happy about it,5
445,Worst product waste of money don't buy,1
446,Super product,5
447,Very nice watch so looking good battery's was also good,5
448,Best product,5
449,Super,5
450,Very nice watch it is really cool,5
451,Good,4
452,Sim not supoort,1
453,Ok,5
454,Super,5
455,Nice but the battery backup is so poor...,4
456,Very good product,5
457,Good product..I like it😊,5
458,Good,5
459,Bad product,1
460,Very good stuff and very cheap,5
461,awesome I like it this product,5
462,Nice watch,5
463,Good,4
464,Good,5
465,Very poor,1
466,Material is not a good Sim not saportet,1
467,"Such a wonderful product just go for it, nice touch, good calling quality.",5
468,Good product,5
469,"5 star because it is that good go for it with no worries, very good product loved it, great display, battery backup, touch, good connectivity all the specifications are perfect, good value for money product go for it with eyes closed , Happy with the delivery of Flipkart .",5
470,"Not recommended at all, footpath product",1
471,Bad,1
472,this watch is amazing,5
473,Very good product,5
474,Poor product,1
475,Product was very nice and delivery was very fast,5
476,Good watch,5
477,"Nice,👍😍😎",5
478,"I liked it very much, but after when i called my grandmother through it sounds are breaking",5
479,Varry good,5
480,Good,5
481,Very nice watch,5
482,Nice,5
483,"An exiting watch for kids and adults, for small cost",5
484,Good,5
485,good,3
486,Very nice watch,5
487,Your smart watch is defected so please change.other wise people do not trust you and your company.,5
488,Excellent,5
489,Nice product,5
490,Wast,2
491,Nice,5
492,Nice,4
493,Very bed,4
494,Good,5
495,Nice watch,4
496,Supar,5
497,Nice product,5
498,Valuable product,4
499,Super and awesome,5
500,Nice product,5
501,Not bad,3
502,Very very bad,1
503,Berrty problem,3
504,Nice,4
505,worst,2
506,Battery backup is not good while connect to mobile,3
507,Very bad smart wach,2
508,Very bad,1
509,West dish watch,1
510,It's baterry is bad,1
511,Battery pickup very bad,2
512,Good very,5
513,After 1 day is stop working so bad 😡😡😡😡😡,1
514,Better,3
515,Bed watch,2
516,Good,5
517,Very bad,1
518,Super smartwatch what i used is better,5
519,Good,5
520,Very bad don't buy,1
521,Its good but the camera is laggy and battery drains very fast,3
522,Very nice product,5
523,Very poor,1
524,Good,4
525,Watch is good. But you are not providing 100% true infirmation,5
526,This is good watch but the mike is problem don't duy it,4
527,Worst,1
528,Good Product,5
529,Totaly disappointed,3
530,Wow smooth,5
531,I'm so disappointed with this product..... Battery is very poor,2
532,Nice watch excelent,4
533,Not good smart watch,1
534,Need improvement for quality....and it's lag so...,3
535,Nice,5
536,Super product thank you Flipkart,5
537,"Useless product , Not properly work this smart watch. No refund money",2
538,It broken for 2 days waste,3
539,Don't waste your money,2
540,It's only for selling purposes not gud for buyrs,1
541,Good👍👍,5
542,Good,5
543,Good,5
544,Worst watch never buy in any cost,1
545,Owesome product.,5
546,Retern this product,1
547,Damage product,1
548,Worest product dnt buy...,1
549,Nice product,5
550,Nyc watch,5
551,Good,4
552,Super,4
553,Fantastic watch to me.,5
554,Bad smart watch,1
555,This is very bad and the camera is a stupid 😠😠😠☹️😠 not purchase this........,2
556,Worst,2
557,Bad product,1
558,Two days ago they are broken,1
559,Good,5
560,Good watch but it took time come and battery life very very bad Thanks to flipkart,4
561,Very poor quality. Wrist band had broken within a week.,1
562,simply nice,4
563,so nice it is,4
564,good,5
565,Battery is not good quality,3
566,Not good.,1
567,nice,3
568,Product is wow😍👌,5
569,ok,1
570,Good,5
571,Don't buy it wast of money,1
572,quality is very bad,1
573,Best watch this watch support 4G sim,5
574,This watch is very poor and my watch batry is wast. Not good for smartwatch .please development for smartwatch. Smartwatch charging is not good full batry is complete but very fast is low battery . Please add play store ok by .my request please development for your smart watch.(ok ),1
575,Wast product that not work,1
576,"Don,t buy the watch is not good",1
577,Local products,2
578,Please do not buy dis products,1
579,nice product,4
580,My charger are disable,4
581,very good watch,4
582,Flipkart the best,5
583,bad,1
584,Received in a Damaged Condition Very Bad Brand Never Seen Like Before in Flipkart.Wish To Return The Watch,1
585,bad product,1
586,Totally bed product... one hour stay charge..... whrost product,1
587,it got faulty just in 2 months,1
588,no 1waste product,1
589,no for batry,5
590,Worst purchase ever,1
591,it is good but chip product,3
592,camera not clear,4
593,Absolutely worthless item. Look very cheap and sensor is very bad.,1
594,Really waste product,1
595,very nice product,5
596,very slow working,2
597,waste of money,1
598,nice,5
599,"It's really amazing watch... Worth for money.... Nice aesthetic... Giving review of 1 day use...
1) battery is good,
2) call voice clearity is nice
3) camera is superb at dis price
4) brown colour I choosed it looks decent and show off wise go for it
5) most important not hanging and touch response is also good
6) as per description, they said sweat free strap yep it's nice.

I campared many watches online with it but yes ✅ I chooses good one.. Worth it.. Go for it",5
600,small kind of mobile and looks very smart in hand and there are many features .lt is also swaet prof nice camera and Display is hd.It connect with mobile by bluetooth and battery life 5hours.You must by less in cost but very good watch . my first choice.smart looking '.Different colour and silver is the most smart.it is very use full.you must by this watch. Irecomend this.,5
601,"This is a very good watch.When I was shopping online, I saw a good smart watch that I saw it so I liked it and found it by getting it done online.Thanks Flipkart",5
602,this is good looking,4
603,Value for money,5
604,Candle this order,5
605,good product,5
606,Nice watch,5
607,Nice Product,4
608,Best quality no bad issue,5
609,Nice colour,3
610,Excellent.. product,5
611,Good Product,5
612,SUPPORT 4G SIM,5
613,Smart watch very nice,5
614,I like it very much,5
615,Good product,3
616,Not very good no inter net,3
617,Very good product,5
618,Good,5
619,I love my watch,5
620,good choice,5
621,Nice product,5
622,your product is very bad i another time not believe on you,1
623,awsume smartwatch thank you flipkart,5
624,Its cool and nice but charging cable is too😤 small,5
625,Nice👍😊,5
626,This is very nice,5
627,It will work with jio,5
628,"When we keep watch to charge the battery will be to hot...
This is the problem of watch",3
629,Nice,5
630,Very bad product. not worth buying. Battery damages nearly after 2 months of normal use. Charges very fast and finishes very fast also. The thinking part is upto u.,1
631,"I am not able to open whatsapp, twitter, facebook and browser",1
632,Nice delivery by Flipkart,3
633,Good,4
634,This watch is waterproof,5
635,Nice,4
636,nice watch,5
637,This watch screen not work,5
638,nice,5
639,Supper watch,3
640,I like this watch,5
641,This mobile watch is very bad because it's belt is broken I wont to replace mobile watch,1
642,Waste oF MoNy,1
643,Plzz don't buy this.There is no option for watsupp and Facebook moreover battery life is too short and if you call somebody you can't hear voice.If you message somebody there is no full message get in your watch.,1
644,"IT IS VERYYYYYYYYYYYYYYYYYYYY
GOOD",5
645,"Overall good but camera is not working
In this price it is valu for money",4
646,very nyc,4
647,Very nice,5
648,Nice,1
649,Veri veri bad product . My product is defeated but i can not return . Battery is damage.,1
650,"don't buy this product, read careful about product. no brand name, appearance like ordinary watch",1
651,this is a very bad product please don't buy this product,1
652,Third class,1
653,bettery backup west pradact,1
654,Super watch and price also low songs also coming,5
655,very nice 👌👌,5
656,Totally worst item wastage of mony no Bluetooth no internet poor quality camera battery draining lastly please don't buy this type of smart watch and save your money,1
657,This watch is very good,5
658,nice work.But it takes 2 hour.,5
659,no too good because no WiFi we also cannot see video and you also cannot use internet it is given for only for see not work,2
660,Very good,5
661,It is a good watch then also when I got it it's battery was missing and I replaced it and after it was okay,5
662,"Very disappointed, refund not accepted",1
663,Good,1
664,Its not working it's bad 👎👎👎👎 money waste boka boka,1
665,This product is good but you have not working WhatsApp and also internet. This is fack watch,1
666,"Now flipkart has started to cheat people. Don't buy this product. I have receive the product without charging cable, though it was mention on its description. Also, the watch is not working. I have claimed for replacement.",1
667,Good,4
668,Nice,3
669,"Returned it and got a new one, it works perfect now. Flipkart thanks for cooperating.",4
670,Thank you,4
671,camera damage,3
672,nice this watch,5
673,Good in range,4
674,Good,3
675,It is so good,5
676,Good,5
677,It is exallent,5
678,super,5
679,Waste of money,1
680,Nice,3
681,awesome product,5
682,happy,5
683,It is very bad product,5
684,Waste product,1
685,Didn't even work 2 days,1
686,I am so happy 😊,5
687,Very bad and useless product.I will never purchase again any watch from flip kart.This is murder of Trust.Kindly bycott it,1
688,nice product,5
689,amazing,5
690,Nice one😀👌👍,5
691,battery life is not Good,1
692,Good,4
693,Super product,5
694,Sir watch is too nice but batter problem in day we should charge twice,3
695,It's vary bad product,1
696,It was a very bad product which always hanged.Gave it two stars bcoz the packaging was good,2
697,"Watch is very poor because battery bad
Speaker not running very very poor",1
698,Super,5
699,This is a very nice Watch,5
700,Watch is good but battery is very worst and only 3 faces are available,3
701,Horrible,2
702,The product was good,3
703,Super smart watch,5
704,Nice products,3
705,Good,4
706,Waste of money. Charge nilkkave mattuthu,1
707,Doesn't support sim properly,2
708,Bad quality model and bad product,1
709,Good,1
710,Good,4
711,Nice,5
712,Ok,5
713,Not bad.....,5
714,Very bad and very hang very irritating,2
715,Very worst product,2
716,"Don't waste your money, charging is not working properly battery life is only 4 hours,sound is not working properly 😭😭",2
717,Nice,5
718,Very worst.,1
719,Bad watch,1
720,"Good Quality, Nice Product. Loved It.",4
721,Super prodect,5
722,VERY nice product,5
723,outstanding perfomance,5
724,I think it's now water resistant and the USB cable are not in the box.,1
725,waste of money,1
726,Very bad,1
727,Item missed,1
728,bad product,1
729,Worst product,1
730,This product is very good and work very nice I love this product,5
731,Good,5
732,Good review,5
733,GOOD SERVICE AND GOOD PRODUCT,5
734,Nice it's better then your ex😂,5
735,Display it's just like LCD tv and image can not zoom....if you want to zoom some content img..so not possible... please don't buy if you want to zoom any content image,1
736,Ive used it everythings good but we need more brightness so thAt i would give 5 stars,5
737,it is a bad product please don't take it,1
738,Bad products,1
739,Local cheap material,1
740,Very bad quality,1
741,Good,5
742,Super watch' that's very good warking,5
743,Damage,1
744,Thankyou ecom express right time delivery,5
745,Excellent,5
746,Good,3
747,Not get expected one,1
748,Nice Product,5
749,Low Sound and not good very bad item don't choose,1
750,Wast product,1
751,Very bad plz don't buy this,2
752,Nice,4
753,Nice product,4
754,Nice product,5
755,Good product,4
756,Very very very good purduct,5
757,"It doesn't contain any sim and memory card
It's screen paper alsocoming out.",2
758,It doesn't have camera it uses phone camera to capture..... bttry life is good by the way,4
759,Not bad,3
760,not good working,1
761,Super,3
762,good,5
763,nice watch but keyboard is very small very nice quality,1
764,it is a super a1 watch,5
765,So nice,5
766,Amazing,5
767,Very osm product value for money. I love it,5
768,"It the best smart watch in less money and also the connection on bluithoot is best if u put a memory card and sim card in it ull be no needed to touch ur phone, but rhe problem is they told battery life is one day but i charged it 4 times in a day, iam very disappointed",5
769,nice watch,5
770,Nice,3
771,this is normally good.,5
772,Super watch,5
773,Very Good Product,5
774,Watch is so good and work excellent but mic is damaged.,3
775,Very bad please did not buy battery very bad battery dead in 5to15 minutes WhatsApp Facebook Twitter did not work,1
776,"everything is good but i am not able to access the internet on it no whatsapp no facebook no chrome it just shows please wait and nothing happens next, i am fed up of it can you please tell me what to do and how to start internet. i bought it to excess internet and whatsapp but now this is the situation please let me know as soon as possible",3
777,Good product,3
778,nice smart watch,3
779,nice,5
780,Very bad product,1
781,Don't buy this watch it's a waste of money,1
782,IT is not worst but what they said is not there heart rate monitor is not there,1
783,battery get down in only 1 hour and also mic doesn't work properly,1
784,very bad,1
785,I am happy with this product because I can call it with blutooth,5
786,I replacement in watch next watch was very good but not work what's app or Facebook,3
787,Ok,4
788,after one month the watch gets hang automatically calls will answer and ends,4
789,Ok great 😊,3
790,Good,5
791,Very very very bad 👎the power button is not working l hat you flipkart never buy from flipkart,1
792,"Superb nice product but the screen


size is lesser than shown in the picture",5
